"id";"date";"truck_id";"nbags";"net_weight";"origin";"supplier";"moisture";"nut_count";"outturn";"defective";"price";"year";"month";"day";"avg_wpb"
175;"2015-04-27";23;361;33347;9;84;12.4;188.0;45.58;13.8;"";2015;4;27;92.37396121883657
176;"2015-04-27";114;423;39521;60;118;9.43;175.0;45.67;14.6;"";2015;4;27;93.43026004728132
177;"2015-04-27";9;387;34481;9;84;14.26;210.0;45.76;12.9;"";2015;4;27;89.09819121447029
178;"2015-04-28";115;429;39735;60;118;8.53;174.0;48.05;6.8;"";2015;4;28;92.62237762237763
179;"2015-04-28";116;452;39020;66;119;11.8;194.0;44.17;14.9;"";2015;4;28;86.32743362831859
180;"2015-04-28";117;305;29239;1;66;11.23;209.0;43.74;17.3;"";2015;4;28;95.8655737704918
181;"2015-04-29";9;419;36721;9;84;14.3;191.0;46.64;13.0;"";2015;4;29;87.63961813842482
182;"2015-04-29";118;451;39769;37;53;6.63;191.0;47.78;7.05;"";2015;4;29;88.17960088691795
183;"2015-04-30";23;425;36343;9;84;11.53;194.0;47.17;11.5;"";2015;4;30;85.51294117647059
184;"2015-04-30";43;468;40460;35;114;14.43;187.0;43.03;20.9;"";2015;4;30;86.45299145299145
185;"2015-04-30";19;407;35417;9;75;13.0;199.0;47.7;7.75;"";2015;4;30;87.01965601965603
186;"2015-05-02";9;440;39480;9;84;11.54;196.0;48.04;10.0;"";2015;5;2;89.72727272727273
187;"2015-05-04";43;474;40866;56;114;10.5;170.0;46.99;8.1;"";2015;5;4;86.21518987341773
188;"2015-05-04";23;404;35552;9;84;11.5;192.0;45.58;15.7;"";2015;5;4;88.0
189;"2015-05-05";12;390;34846;9;75;10.56;193.0;47.52;9.3;"";2015;5;5;89.34871794871795
190;"2015-05-05";119;434;39786;60;118;7.86;170.0;46.99;6.9;"";2015;5;5;91.67281105990783
191;"2015-05-06";120;455;38577;66;119;12.4;182.0;44.08;17.35;"";2015;5;6;84.78461538461538
192;"2015-05-07";14;425;39227;58;18;12.16;154.0;45.67;9.3;"";2015;5;7;92.29882352941176
193;"2015-05-08";23;400;36056;9;84;11.1;191.0;46.2;11.2;"";2015;5;8;90.14
